日付,商品名,カテゴリ,地域,数量,単価,売上金額
2026-07-23,ドリップパックギフト,ギフト,福岡,1,3200,3200
2026-07-23,マグカップ,雑貨,東京,1,1800,1800
2026-07-23,コーヒー豆200g,食品,札幌,2,1500,3000
2026-07-24,ドリップコーヒー12杯,食品,福岡,4,1200,4800
2026-07-24,カフェオレベース,食品,名古屋,3,980,2940
2026-07-24,コーヒー豆200g,食品,東京,3,1500,4500
2026-07-24,ギフトセット,ギフト,大阪,2,4500,9000
2026-07-25,コーヒー豆200g,食品,名古屋,3,1500,4500
2026-07-25,カフェオレベース,食品,大阪,1,980,980
2026-07-25,定期便（月1）,サブスク,札幌,3,3600,10800
2026-07-25,カフェオレベース,食品,札幌,2,980,1960
2026-07-25,マグカップ,雑貨,札幌,4,1800,7200
2026-07-26,マグカップ,雑貨,東京,1,1800,1800
2026-07-26,カフェオレベース,食品,福岡,4,980,3920
2026-07-26,カフェオレベース,食品,大阪,1,980,980
2026-07-26,ドリップパックギフト,ギフト,名古屋,2,3200,6400
2026-07-26,コーヒー豆200g,食品,大阪,2,1500,3000
2026-07-27,定期便（月1）,サブスク,その他,3,3600,10800
2026-07-27,タンブラー,雑貨,名古屋,1,2800,2800
2026-07-27,ギフトセット,ギフト,福岡,2,4500,9000
2026-07-27,タンブラー,雑貨,大阪,3,2800,8400
2026-07-27,ギフトセット,ギフト,大阪,1,4500,4500
2026-07-28,ドリップパックギフト,ギフト,札幌,1,3200,3200
2026-07-28,ドリップコーヒー12杯,食品,その他,5,1200,6000
2026-07-28,ドリップコーヒー12杯,食品,名古屋,4,1200,4800
2026-07-29,コーヒー豆200g,食品,札幌,2,1500,3000
2026-07-29,コーヒー豆200g,食品,大阪,2,1500,3000
2026-07-29,マグカップ,雑貨,その他,2,1800,3600
2026-07-29,コーヒー豆200g,食品,その他,1,1500,1500
2026-07-30,ドリップコーヒー12杯,食品,その他,3,1200,3600
2026-07-30,ドリップコーヒー12杯,食品,札幌,2,1200,2400
2026-07-30,タンブラー,雑貨,大阪,5,2800,14000
2026-07-30,ドリップパックギフト,ギフト,名古屋,5,3200,16000
2026-07-30,タンブラー,雑貨,その他,1,2800,2800
2026-07-31,定期便（月1）,サブスク,札幌,1,3600,3600
2026-07-31,定期便（月1）,サブスク,その他,5,3600,18000
2026-07-31,コーヒー豆200g,食品,東京,1,1500,1500
2026-07-31,ドリップパックギフト,ギフト,札幌,2,3200,6400
2026-07-31,ギフトセット,ギフト,札幌,2,4500,9000
